Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
                           2014 EP240  L4    4.955   5.377  14.96  20230913   43.13  178.6  230.3   10.0  0.041   5.166     6     MPO733102
                           2014 EU240  L4    4.835   5.301  14.7   20140304  204.0   353.1  330.6   29.5  0.046   5.068  (  3d)   MPO435064
                           2014 EV240  L4    5.004   5.155  14.82  20230913   65.83  179.3  217.7    9.1  0.015   5.079     8     MPO686984
                           2014 EL241  L4    4.685   5.627  15.26  20230913   23.27  130.9  290.0    6.1  0.091   5.156     6     MPO733102
                           2014 EB242  L4    4.969   5.287  14.8   20140304  182.6   160.0  181.5   13.7  0.031   5.128  (  2d)   MPO435064
                           2014 EL242  L4    5.087   5.337  15.0   20140304  356.4   335.2  192.0   11.8  0.024   5.212  (  3d)   MPO435064
                           2014 ET242  L4    4.818   5.562  14.71  20230913   15.59  146.9  285.0    7.7  0.072   5.190     8     MPO781763
                           2014 EU242  L4    4.333   5.685  14.4   20140304  181.3   152.5  191.4   16.9  0.135   5.009  (  2d)   MPO435064
                           2014 EX243  L4    5.060   5.438  14.8   20140304  330.1   223.6  334.7   24.6  0.036   5.249  (  3d)   MPO435064
                           2014 EY243  L4    4.741   5.293  14.7   20140304  191.6   135.1  199.9    7.4  0.055   5.017  (  3d)   MPO435064
                           2014 EZ243  L4    4.824   5.588  15.07  20230913   17.51  191.0  237.8    5.5  0.073   5.206     4     MPO724327
                           2014 ED244  L4    4.658   5.611  14.79  20230913   67.74  213.5  171.9   21.8  0.093   5.135     7     MPO733102
                           2014 EE244  L4    4.652   5.882  15.4   20230913  299.40  202.9  302.6    4.4  0.117   5.267     2     MPO677880
                           2014 EK245  L4    4.791   5.129  14.8   20140304  224.2    95.7  211.1    7.4  0.034   4.960  (  3d)   MPO435065
                           2014 EK246  L4    5.270   5.342  14.97  20230913  110.89  142.6  197.0    7.1  0.007   5.306     4     E2023-O15
                           2014 EP246  L4    4.411   5.911  15.9   20230913   19.91   98.1  326.7    6.5  0.145   5.161     2     MPO663814
                           2014 EA247  L4    4.915   5.599  14.4   20140304  217.4   142.6  175.9    7.7  0.065   5.257  (  3d)   MPO435065
                           2014 ET247  L4    5.047   5.237  14.94  20230913   38.42   84.1  344.8   20.1  0.018   5.142     7     MPO686984
                           2014 ED248  L4    5.044   5.400  14.6   20140304  255.2    88.7  191.8   18.3  0.034   5.222  (  3d)   MPO435066
                           2014 EF248  L4    4.760   5.566  14.6   20140304  113.0   128.2  284.3    6.4  0.078   5.163  ( 24d)   MPO435066
                           2014 EK248  L4    4.741   5.615  14.79  20230913   28.05  250.5  175.5    7.0  0.084   5.178     5     MPO733102
                           2014 EW253  L4    4.935   5.454  14.39  20230913    3.44  283.5  175.6    9.7  0.050   5.195    13     MPO733102
                           2014 EH254  L4    4.557   5.796  14.48  20230913    8.96  281.4  153.7   28.0  0.120   5.176     9     MPO733102
                           2014 EM257  L4    4.848   5.544  14.5   20230913   15.09  349.4  108.6   14.5  0.067   5.196     8     MPO686985
                           2014 EN257  L4    4.850   5.489  14.67  20230913  279.87  175.7    8.9   31.6  0.062   5.170     3     MPO663815
                           2014 EQ258  L4    4.797   5.457  15.18  20230913  338.59  331.0  152.7    8.3  0.064   5.127     4     MPO705172
                           2014 FW2    L4    4.588   5.865  14.06  20230913  339.85   38.1   70.2   12.6  0.122   5.227     9     MPO781764
                           2014 FJ3    L4    4.558   5.920  14.68  20230913  314.82   45.9   90.9   11.6  0.130   5.239     4     MPO742623
                           2014 FT4    L4    4.780   5.476  14.46  20230913  324.06   73.8   67.5    8.6  0.068   5.128    11     MPO733102
                           2014 FU4    L4    5.073   5.300  14.83  20230913  339.52   29.9   93.6    8.4  0.022   5.186     8     MPO733103
                           2014 FG5    L4    4.672   5.573  14.70  20230913    0.48  338.3  121.3    8.6  0.088   5.123     9     MPO733103
                           2014 FZ13   L4    4.737   5.579  14.50  20230913  311.31   45.8  110.2   20.6  0.082   5.158     6     MPO733103
                           2014 FG30   L4    4.760   5.765  14.83  20230913  342.96  328.3  139.6   21.9  0.095   5.262     6     MPO724329
                           2014 FT43   L4    4.715   5.546  14.78  20230913   11.95   52.0   45.5    8.0  0.081   5.130    10     MPO733103
                           2014 FZ51   L4    4.755   5.646  14.12  20230913  352.99  101.8  347.7   25.8  0.086   5.200     7     MPO781766
                           2014 FQ60   L4    4.587   5.637  15.68  20230913  200.78  104.2  192.8    7.7  0.103   5.112  (  1d)   MPO630349
                           2014 FZ60   L4    5.115   5.425  14.88  20230913  288.02  354.6  190.0   10.9  0.029   5.270     8     MPO733104
                           2014 FG61   L4    4.674   5.798  14.79  20230913    1.01  273.3  188.4    7.5  0.107   5.236    12     MPO733104
                           2014 FD72   L4    4.931   5.343  14.91  20230913  103.41  297.1   68.9    8.4  0.040   5.137     6     E2021-W85
                           2014 FU81   L4    5.119   5.497  14.65  20230913  114.85  337.8    7.7    7.3  0.036   5.308     8     MPO686988
                           2014 FN88   L4    4.756   5.600  14.47  20230913  351.44  164.0  300.0   12.0  0.082   5.178     8     MPO781767
                           2014 FR88   L4    4.711   5.756  14.73  20230913  335.65  282.8  206.6   17.8  0.100   5.233     5     MPO733105
                           2014 FV88   L4    4.999   5.513  14.5   20230913   62.45  276.3  137.7   27.2  0.049   5.256     3     MPO663821
                           2014 FA90   L4    4.516   5.880  14.92  20230913  327.42  269.0  227.4    9.2  0.131   5.198     4     MPO733105
                           2014 GN10   L4    5.068   5.344  14.06  20230913  342.35  136.1  353.2    6.7  0.027   5.206    13     MPO733105
                           2014 GD11   L4    5.009   5.366  14.55  20230913  345.77  126.5  358.4   20.4  0.034   5.188     8     MPO724332
                           2014 GN20   L4    4.586   5.870  14.0   20230913   55.50  211.4  202.6   20.6  0.123   5.228     8     MPO686990
                           2014 GA72   L4    4.436   5.977  14.62  20230913  347.79  256.8  242.3   10.1  0.148   5.207     6     MPO733107
                           2014 GW97   L4    4.875   5.537  14.77  20230913  346.14  102.6   23.0   19.2  0.064   5.206     3     MPO708882
                           2014 HJ11   L4    5.045   5.361  14.24  20230913    8.26   85.6   23.9   24.1  0.030   5.203    10     MPO733108
                           2014 HJ76   L4    5.033   5.335  15.24  20230913  107.70  317.8   73.0    5.1  0.029   5.184     6     MPO687005
                           2014 HJ211  L4    5.213   5.319  14.28  20230913   38.92  246.6  185.1   27.8  0.010   5.266    10     E2021-XD3
                           2014 HT280  L4    4.892   5.719  15.45  20230913   21.77  191.0  270.6    2.6  0.078   5.306     5     MPO781780
                           2014 HN295  L4    4.831   5.501  16.04  20230913   32.80   46.8   49.6    8.6  0.065   5.166     2     MPO708891
                           2014 HQ314  L4    5.175   5.361  15.28  20230913  161.70   19.7  313.2    2.4  0.018   5.268     7     MPO734373
                           2014 HB316  L4    4.975   5.481  15.75  20230913   92.96  161.2  238.3    8.8  0.048   5.228     4     MPO734379
                           2014 HQ317  L4    4.748   5.692  15.21  20230913  100.12  172.3  224.9    1.4  0.090   5.220     5     MPO734385
                           2014 HP347  L4    5.040   5.561  15.15  20230913   44.02   51.7   28.6    3.6  0.049   5.300     4     MPO770713
                           2014 JZ54   L4    4.355   6.085  13.60  20230913  321.66   28.5  102.5   31.5  0.166   5.220     8     MPO733120
                           2014 KH85   L4    4.853   5.629  13.52  20230913  353.38  342.0  105.8   11.9  0.074   5.241    12     MPO733125
                           2014 KC91   L4    4.857   5.458  13.41  20230913  285.84   89.3   86.9   11.9  0.058   5.158    16     MPO781791
                           2014 QM438  L5    4.551   5.865  14.15  20230913  303.23  283.6   86.3   11.8  0.126   5.208     8     E2023-P22
                           2014 QF548  L5    4.860   5.401  14.4   20230913  343.79  281.8   46.8   27.9  0.053   5.131     3     MPO620414
                           2014 RC13   L5    5.016   5.412  13.6   20140831  359.8   173.2  263.6   24.7  0.038   5.214  (  4d)   MPO311499
                           2014 RA64   L5    4.634   5.543  14.6   20230913  315.54  308.1   67.8   22.3  0.089   5.088     5     MPO640518
                           2014 ST220  L5    4.964   5.616  14.79  20230913  303.50  182.8  187.6   27.0  0.062   5.290     6     E2022-MB1
                           2014 SP365  L5    4.635   5.785  14.37  20230913  271.03  324.5   96.5   27.1  0.110   5.210     5     MPO781877
                           2014 SM366  L5    5.010   5.320  14.58  20230913  238.79  308.5  148.9   24.6  0.030   5.165     7     MPO781877
                           2014 ST377  L5    5.040   5.405  13.73  20230913  340.33  123.0  228.4   27.9  0.035   5.222     5     MPO781878
                           2014 TL86   L5    4.676   5.664  14.29  20230913  312.81  304.8   58.0   29.7  0.096   5.170     4     MPO640531
                           2014 UV66   L5    4.869   5.670  13.84  20230913  323.73  112.5  243.5   31.1  0.076   5.270     6     MPO640534
                           2014 UB94   L5    4.887   5.482  14.2   20230913  326.70  297.5   55.0   31.0  0.057   5.185     3     MPO640535
                           2014 UM94   L5    4.881   5.348  13.6   20230913  350.38  281.7   53.1   29.1  0.046   5.114     9     MPO554581
                           2014 UJ118  L5    4.914   5.405  14.43  20230913   26.50   59.7  242.6   20.6  0.048   5.160     5     MPO781888
                           2014 US130  L5    4.549   5.801  14.62  20230913  330.38   89.2  234.1   10.2  0.121   5.175     4     E2022-L59
                           2014 UM154  L5    4.632   5.802  14.58  20230913  252.30  328.5  110.5    6.8  0.112   5.217     7     E2023-Q21
                           2014 UA169  L5    4.764   5.649  14.7   20230913  252.36  167.2  262.6   12.0  0.085   5.207     2     MPO519942
                           2014 UJ186  L5    4.785   5.569  14.4   20230913  281.15  355.8   31.2   22.8  0.076   5.177     4     E2020-O05
                           2014 UP203  L5    4.718   5.721  14.4   20230913  313.95  138.5  222.7   20.7  0.096   5.220     6     MPO640538
                           2014 UA209  L5    4.987   5.493  12.83  20230913  326.25  276.7   78.9   32.4  0.048   5.240    15     MPO781892
                           2014 UX224  L5    4.897   5.629  14.88  20230913  139.38  347.6  202.5   28.6  0.069   5.263     4     E2023-R69
                           2014 UE245  L5    4.806   5.367  14.21  20230913  334.91  130.9  230.5   25.7  0.055   5.086     7     E2023-Q34
                           2014 UM250  L5    5.105   5.339  13.78  20230913  257.63   66.3  344.6   26.2  0.022   5.222     7     MPO781893
                           2014 UY250  L5    4.907   5.621  14.36  20230913  149.82  127.6   54.4   22.1  0.068   5.264     6     MPO781893
                           2014 UC251  L5    4.957   5.458  14.76  20230913  136.05  279.2  272.7    0.9  0.048   5.208     7     E2023-Q34
                           2014 UE251  L5    4.485   5.901  14.45  20230913  296.49  122.3  257.3   13.8  0.136   5.193     7     MPO750185
                           2014 UZ251  L5    5.086   5.435  14.5   20230913  179.34  109.6   29.1   23.4  0.033   5.261     4     MPO640540
                           2014 UK256  L5    4.908   5.386  14.54  20230913   35.78  238.7   57.8   32.4  0.046   5.147     4     MPO781893
                           2014 UZ257  L5    4.850   5.436  14.15  20230913  356.97   76.3  238.7   20.4  0.057   5.143     9     E2023-N43
                           2014 UQ260  L5    4.962   5.346  14.3   20230913  335.75  313.2   39.4   32.3  0.037   5.154     6     E2020-OA3
                           2014 UZ262  L5    5.011   5.509  14.4   20230913  256.85   13.5   52.2   13.5  0.047   5.260     6     MPO640540
                           2014 UA263  L5    4.933   5.576  14.11  20230913   26.79  228.6   59.7   30.0  0.061   5.254     7     E2023-O02
                           2014 UN269  L5    4.948   5.534  14.6   20230913  152.62  120.7   59.6   32.8  0.056   5.241     3     MPO620452
                           2014 UR270  L5    5.012   5.400  14.56  20230913   75.97   33.1  227.5   26.6  0.037   5.206     4     MPO781894
                           2014 UA271  L5    4.940   5.501  14.53  20230913   98.65  231.9  351.3   14.2  0.054   5.220     9     MPO781894
                           2014 UO271  L5    4.927   5.495  14.40  20230913  330.62  115.4  238.0   27.4  0.055   5.211     4     MPO750185
                           2014 UB278  L5    5.007   5.435  14.76  20230913  216.12  253.4  227.9    8.8  0.041   5.221     7     MPO781895
                           2014 UD278  L5    4.870   5.627  14.3   20230913  271.46  156.7  243.0   27.4  0.072   5.248     5     MPO655331
                           2014 UP283  L5    4.987   5.433  14.52  20230913  241.86  212.5  251.2   11.6  0.043   5.210     6     MPO781895
                           2014 UT283  L5    4.680   5.598  14.96  20230913  282.45  130.4  269.1    9.2  0.089   5.139     5     E2023-O65
                           2014 UP284  L5    4.710   5.556  14.51  20230913  335.46   68.5  273.7   17.0  0.082   5.133     5     E2023-P20
                           2014 UR287  L5    4.883   5.468  14.43  20230913   11.06  335.4  320.6    8.6  0.057   5.175     8     E2023-R94
                           2014 VO7    L5    4.696   5.549  14.22  20230913  307.35  141.0  240.6   23.0  0.083   5.122     4     MPO714207
                           2014 VH26   L5    4.824   5.370  13.95  20230913   26.78  243.2   70.5   22.7  0.054   5.097     9     MPO781896
                           2014 VP28   L5    4.868   5.621  14.5   20230913  221.98  214.9  255.2    6.6  0.072   5.245     5     MPO620457
                           2014 VU41   L5    4.615   5.683  14.67  20230913  308.91   58.5  312.2   14.0  0.104   5.149     5     MPO781896
                           2014 VD42   L5    5.189   5.222  14.36  20230913  204.12  249.1  225.1   15.4  0.003   5.206     8     MPO781896
                           2014 WC     L5    4.820   5.336  14.51  20230913  341.46  118.3  228.3   26.1  0.051   5.078     6     E2023-Q34
                           2014 WM6    L5    4.782   5.580  13.07  20230913  115.29  335.2  239.5    9.2  0.077   5.181    16     MPO781897
                           2014 WA16   L5    4.734   5.586  14.5   20230913  307.91  322.4   43.2   20.9  0.083   5.160     5     MPO620459
                           2014 WB18   L5    4.783   5.643  13.99  20230913  359.38   71.7  253.9   27.8  0.082   5.213     6     MPO750185
                           2014 WG24   L5    4.532   5.936  14.05  20230913  277.60  148.6  264.3   18.3  0.134   5.234     7     MPO781897
                           2014 WQ27   L5    4.828   5.636  14.58  20230913  287.93  138.2  249.5    4.8  0.077   5.232     9     E2023-R94
                           2014 WM29   L5    4.683   5.674  13.94  20230913  348.15   91.4  235.3   27.1  0.096   5.179     7     MPO750185
                           2014 WQ53   L5    4.973   5.357  14.44  20230913  275.96  179.5  243.7   27.2  0.037   5.165     3     E2023-RD0
                           2014 WY60   L5    4.803   5.478  14.59  20230913  345.77  262.4   68.4   24.3  0.066   5.140     6     MPO640544
                           2014 WT119  L5    4.935   5.588  12.87  20230913  289.31  281.3  116.5   23.9  0.062   5.262    17     MPO781901
                           2014 WV119  L5    4.704   5.539  14.20  20230913  308.40  117.2  270.2   18.3  0.082   5.122     3     MPO781901
                           2014 WA120  L5    5.089   5.415  13.19  20230913  255.14  325.7  106.4   23.5  0.031   5.252    14     MPO781901
                           2014 WX123  L5    4.807   5.591  14.30  20230913   53.28  214.8   66.9   25.1  0.075   5.199     9     MPO781901
                           2014 WV130  L5    4.646   5.800  14.91  20230913  328.41  103.7  244.0    7.6  0.110   5.223     6     E2023-R06
                           2014 WZ131  L5    4.431   5.871  14.05  20230913   14.74   64.1  241.3   16.1  0.140   5.151     7     MPO781901
                           2014 WT132  L5    4.706   5.652  14.6   20230913  350.19   85.7  246.9   20.4  0.091   5.179  ( 16d)   E2020-N04
                           2014 WS141  L5    4.670   5.594  14.42  20230913   11.40  248.4   71.7   16.2  0.090   5.132     6     MPO781901
                           2014 WH183  L5    4.905   5.539  14.58  20230913  316.35  247.2   84.5    8.1  0.061   5.222     9     E2022-M19
                           2014 WM201  L5    4.787   5.473  13.64  20230913    3.20   40.4  282.7   17.3  0.067   5.130     9     MPO781903
                           2014 WN219  L5    4.949   5.409  14.06  20230913  357.46   74.9  243.1   19.1  0.044   5.179     7     E2023-OA1
                           2014 WM221  L5    4.728   5.613  14.66  20230913  248.04   31.4   49.2   12.3  0.086   5.171     8     E2023-Q21
                           2014 WK222  L5    4.838   5.563  14.56  20230913  284.76  343.9   54.5    4.3  0.070   5.201     9     E2023-Q57
                           2014 WM276  L5    4.893   5.473  14.77  20230913    4.92  109.3  219.1   14.5  0.056   5.183     7     MPO781905
                           2014 WV285  L5    4.933   5.474  15.04  20230913   33.37  144.8  155.4    7.8  0.052   5.203     9     MPO781906
                           2014 WO302  L5    4.693   5.568  13.9   20230913  330.71   91.7  247.6   26.4  0.085   5.130     7     MPO640551
                           2014 WE306  L5    4.815   5.576  14.61  20230913  269.24  141.9  271.6   19.1  0.073   5.195     5     E2023-Q57
                           2014 WF347  L5    4.788   5.620  15.03  20230913  304.00   82.8  292.5   11.8  0.080   5.204     2     MPO781908
                           2014 WV364  L5    4.856   5.646  13.64  20230913   35.61  189.2   97.7   14.7  0.075   5.251    13     MPO781908
                           2014 WA369  L5    5.124   5.437  14.05  20230913  297.25  105.0  272.1   25.7  0.030   5.280     4     E2023-O91
                           2014 WL369  L5    4.811   5.646  13.47  20230913   58.44  252.6   11.9   24.3  0.080   5.229    11     MPO781909
                           2014 WZ373  L5    4.852   5.510  14.07  20230913  190.42  104.6   46.4   17.7  0.064   5.181     8     MPO781909
                           2014 WA377  L5    5.179   5.488  14.47  20230913  358.48   71.1  250.7    8.5  0.029   5.333     7     MPO781909
                           2014 WN379  L5    4.678   5.548  14.07  20230913    5.25  269.5   52.6   26.3  0.085   5.113     9     MPO781909
                           2014 WC386  L5    4.700   5.720  14.54  20230913  266.08  215.3  210.2   14.0  0.098   5.210     7     E2023-R23
                           2014 WC387  L5    4.991   5.485  14.45  20230913  264.68  250.5  178.6    9.0  0.047   5.238    11     E2023-R58
                           2014 WA388  L5    4.590   5.628  15.04  20230913  349.51  197.0  140.2    7.5  0.102   5.109     4     E2023-RF8
                           2014 WP405  L5    4.597   5.757  13.83  20230913  359.20   79.4  252.4   24.8  0.112   5.177     4     MPO781909
                           2014 WN441  L5    5.066   5.217  14.13  20230913   22.41   51.5  267.9   22.3  0.015   5.142     8     MPO781910
                           2014 WM444  L5    4.985   5.628  14.18  20230913   12.14  255.9   56.7   12.6  0.061   5.306     7     MPO781910
                           2014 WM446  L5    4.409   5.952  14.6   20230913  336.52  278.5   70.4   35.7  0.149   5.180     2     E2021-N74
                           2014 WF463  L5    4.920   5.430  14.39  20230913  114.49  340.5  243.6   20.0  0.049   5.175     7     MPO781911
                           2014 WE466  L5    4.638   5.661  15.09  20230913  307.28  135.8  248.6   10.3  0.099   5.149     5     E2023-QD4
                           2014 WF471  L5    5.090   5.316  14.39  20230913   74.52   12.3  246.5   23.7  0.022   5.203     5     E2023-OA1
                           2014 WA474  L5    4.854   5.697  14.47  20230913  335.73  237.1  102.2   11.0  0.080   5.275     8     E2023-R13
                           2014 WD511  L5    4.919   5.474  14.73  20230913   72.77  201.1   58.2   25.1  0.053   5.197     5     MPO781912
                           2014 WE511  L5    4.170   6.265  14.8   20230913  281.17  319.4   83.9    8.6  0.201   5.218     4     MPO416009
                           2014 WG511  L5    4.417   5.927  14.74  20230913  330.37  260.1   89.0   10.6  0.146   5.172     6     E2023-R13
                           2014 WH511  L5    4.793   5.400  14.55  20230913  330.22  311.8   58.1   27.9  0.060   5.097     3     MPO771273
                           2014 WK511  L5    4.736   5.497  14.37  20230913  346.00  199.0  121.7   10.3  0.074   5.116    10     E2023-Q21
                           2014 WL511  L5    4.673   5.701  14.6   20141119   19.5   181.3  228.8   20.3  0.099   5.187  (  5d)   MPO419488
                           2014 WO511  L5    4.886   5.695  14.22  20230913  284.05  315.7  101.2   23.3  0.076   5.290     7     MPO781912
                           2014 WB546  L5    4.644   5.766  14.4   20230913  126.60  151.1   63.0   25.3  0.108   5.205     5     MPO554596
                           2014 WM556  L5    5.073   5.302  14.38  20230913  267.62  340.3   95.9   20.6  0.022   5.188     8     MPO781914
                           2014 WN556  L5    4.773   5.527  13.97  20230913   84.02  343.5  275.2   19.0  0.073   5.150     7     MPO781914
                           2014 WC561  L5    4.905   5.510  14.33  20230913  137.19  277.6  280.5   19.1  0.058   5.208     6     MPO781914
                           2014 WX562  L5    4.719   5.771  14.39  20230913  325.11  188.7  168.4   18.9  0.100   5.245     5     MPO781914
                           2014 WM565  L5    4.862   5.600  14.3   20230913  336.41  292.3   50.3   33.3  0.071   5.231     6     MPO640560
                           2014 WW568  L5    4.552   6.000  14.46  20230913   35.52  167.3  112.0   11.3  0.137   5.276     7     MPO781915
                           2014 WY569  L5    5.101   5.340  14.38  20230913  351.83   50.1  284.0   12.7  0.023   5.221     6     MPO781915
                           2014 WT570  L5    4.731   5.828  14.11  20230913   59.54  166.2  102.8   20.5  0.104   5.279     7     MPO781915
                           2014 WZ570  L5    5.057   5.343  14.62  20230913  331.04  257.7   95.7   13.8  0.027   5.200     7     E2023-R69
                           2014 WD573  L5    4.883   5.597  14.35  20230913  344.94  241.1  100.6   28.8  0.068   5.240     7     E2023-Q34
                           2014 WE573  L5    5.039   5.277  14.52  20230913  352.34  230.4  100.0   30.6  0.023   5.158     7     E2023-Q34
                           2014 WD574  L5    4.359   5.950  13.90  20230913   32.40  218.1   84.1   20.7  0.154   5.154     9     MPO781915
                           2014 WE574  L5    4.782   5.486  14.51  20230913   11.66  229.9   93.1   29.1  0.069   5.134     4     MPO714224
                           2014 WG574  L5    5.041   5.407  14.0   20230913  159.30  118.5   45.4   26.6  0.035   5.224     7     MPO555516
                           2014 WK574  L5    4.939   5.604  14.07  20230913   93.35  351.3  250.4   24.1  0.063   5.272     5     MPO781915
                           2014 WN574  L5    4.987   5.419  13.96  20230913  278.53  180.3  240.4   22.1  0.042   5.203     7     MPO781915
                           2014 WO574  L5    4.975   5.390  14.24  20230913  302.18  295.3   87.8   22.1  0.040   5.182     7     MPO781915
                           2014 WS574  L5    5.090   5.636  14.46  20230913  352.85  305.9   19.9    4.3  0.051   5.363     8     E2023-R94
                           2014 WQ575  L5    5.012   5.499  14.71  20230913   30.43   53.9  245.9   12.4  0.046   5.255     8     MPO781915
                           2014 WO578  L5    4.764   5.538  14.30  20230913    1.44  224.1   98.1   28.9  0.075   5.151     7     E2023-Q34
                           2014 WP578  L5    4.762   5.537  14.89  20230913  270.73  305.2  116.0    9.8  0.075   5.150     8     E2023-Q21
                           2014 WQ578  L5    4.925   5.644  14.56  20230913   35.23   55.4  232.5   28.1  0.068   5.285     5     E2023-Q34
                           2014 WY578  L5    5.140   5.532  14.2   20230913   23.37  237.5   65.0   28.7  0.037   5.336     3     MPO600179
                           2014 WG579  L5    4.899   5.511  14.26  20230913   39.43   36.2  239.1   10.4  0.059   5.205     9     MPO781916
                           2014 WF580  L5    5.123   5.167  14.65  20230913  247.28  197.7  252.7   20.5  0.004   5.145     3     E2023-R69
                           2014 WJ580  L5    5.143   5.415  14.78  20230913   86.90  154.2   85.6   19.0  0.026   5.279     6     MPO781916
                           2014 WK580  L5    4.988   5.409  14.64  20230913    3.16  242.5   80.9   26.6  0.040   5.199     5     E2022-N57
                           2014 WK583  L5    4.867   5.630  14.55  20230913   19.83   24.4  283.1    9.0  0.073   5.249     8     MPO781916
                           2014 WN584  L5    4.899   5.431  14.39  20230913  298.91  290.1   91.6   26.3  0.052   5.165     6     E2023-Q34
                           2014 WP584  L5    4.893   5.530  14.33  20230913  321.82  295.0   76.1   20.0  0.061   5.211     7     MPO781916
                           2014 WS585  L5    4.571   5.865  14.77  20230913  358.44  121.1  201.2    6.1  0.124   5.218     9     E2023-Q21
                           2014 WV585  L5    5.073   5.292  14.49  20230913  309.12  291.8   69.7   15.7  0.021   5.182     5     MPO640562
                           2014 WY586  L5    4.789   5.587  14.80  20230913   20.35   58.3  247.7   21.8  0.077   5.188     4     MPO781916
                           2014 WM588  L5    4.917   5.501  14.49  20230913  333.97  228.0  111.5   16.9  0.056   5.209     5     MPO781916
                           2014 WP588  L5    5.054   5.443  14.6   20230913  349.54  286.8   48.3   30.1  0.037   5.249     4     MPO602716
                           2014 WF589  L5    4.961   5.612  14.28  20230913   48.73   37.0  248.2   22.1  0.062   5.286     5     MPO781916
                           2014 WZ589  L5    4.317   6.082  14.54  20230913    6.78  141.7  167.5   15.7  0.170   5.200     7     MPO781916
                           2014 WK590  L5    4.518   5.770  14.52  20230913    0.46  238.0   88.6   23.7  0.122   5.144     5     MPO781916
                           2014 WL590  L5    4.875   5.606  15.03  20230913  322.89  224.0  131.9   16.0  0.070   5.240     6     MPO781916
                           2014 WR590  L5    4.968   5.285  14.64  20230913   37.79   48.8  228.7   26.9  0.031   5.126     6     MPO640562
                           2014 WS591  L5    5.144   5.474  14.54  20230913  300.53  268.3  118.9    9.6  0.031   5.309     9     MPO781916
                           2014 WW591  L5    4.852   5.525  14.85  20230913    4.88  235.6   76.4   24.0  0.065   5.188     4     E2021-M50
                           2014 WX591  L5    4.606   5.965  14.46  20230913  330.45  218.8  137.5   19.4  0.129   5.285     6     MPO781916
                           2014 WD592  L5    4.974   5.489  14.69  20230913  331.52  175.6  175.0   17.8  0.049   5.232     7     MPO781916
                           2014 WK593  L5    4.877   5.676  14.71  20230913  351.00  188.4  131.5   12.8  0.076   5.277     7     MPO781917
                           2014 WN593  L5    4.437   5.918  14.55  20230913  336.65  273.8   81.6   13.9  0.143   5.177     8     MPO781917
                           2014 WF594  L5    4.864   5.398  14.93  20230913  307.63  266.4  118.2    8.4  0.052   5.131     8     E2023-Q34
                           2014 WS594  L5    4.923   5.555  14.87  20230913  248.53  212.6  229.3    6.9  0.060   5.239     6     MPO781917
                           2014 WW594  L5    4.436   5.965  14.72  20230913  301.42   55.8  325.6   10.1  0.147   5.201     9     MPO781917
                           2014 WM595  L5    4.883   5.565  14.06  20230913  106.01  340.3  262.7   28.0  0.065   5.224     6     MPO781917
                           2014 WR595  L5    4.416   5.992  14.9   20230913  299.95  291.1   91.7    6.5  0.151   5.204     6     E2021-N32
                           2014 WS595  L5    4.652   5.818  15.12  20230913    3.97  266.3   46.5    2.6  0.111   5.235     7     MPO781917
                           2014 WY595  L5    5.122   5.340  14.54  20230913  300.62  251.4  132.2   17.3  0.021   5.231     5     E2023-Q21
                           2014 WC596  L5    4.770   5.613  14.91  20230913  201.85  339.5  156.7   13.1  0.081   5.191     9     MPO781917
                           2014 WV600  L5    5.159   5.285  14.80  20230913   44.04  194.8   88.5   16.0  0.012   5.222     8     E2023-RD0
                           2014 WK602  L5    4.848   5.607  14.60  20230913   26.43   55.4  243.1   20.3  0.073   5.227     5     MPO781917
                           2014 WW603  L5    4.568   5.842  14.88  20230913  340.56  257.6   85.5   19.7  0.122   5.205     3     MPO781917
                           2014 WJ608  L5    4.700   5.536  14.72  20230913  314.07   97.5  276.9   15.3  0.082   5.118     6     MPO781917
                           2014 WK608  L5    4.890   5.573  14.59  20230913  236.08  186.4  274.2   15.1  0.065   5.232     6     E2022-L29
                           2014 WU611  L5    5.019   5.312  15.06  20230913  241.08  323.8  127.3    9.3  0.028   5.166     7     MPO678303
                           2014 WF613  L5    5.037   5.583  14.35  20230913    1.52  260.7   62.9   20.1  0.051   5.310    10     MPO781918
                           2014 WZ615  L5    5.064   5.422  14.88  20230913  180.63  105.1   57.8   24.6  0.034   5.243     3     MPO705261
                           2014 WM616  L5    4.448   5.972  14.40  20230913    6.82   66.3  254.5   21.9  0.146   5.210     5     MPO781918
                           2014 WN616  L5    5.043   5.561  14.36  20230913   65.95   15.4  257.6   27.5  0.049   5.302     6     MPO781918
                           2014 XN     L5    4.813   5.594  14.32  20230913  281.95  103.5  302.9   18.2  0.075   5.204     8     MPO781918
                           2014 XE7    L5    5.068   5.432  13.77  20230913  254.23  177.8  266.2   24.2  0.035   5.250     7     MPO781918
                           2014 XF7    L5    4.912   5.435  13.66  20230913   55.42   11.8  275.5   27.9  0.051   5.173     7     MPO781918
                           2014 XT39   L5    4.883   5.471  14.51  20230913    6.61   69.3  264.1   26.7  0.057   5.177     4     MPO781919
                           2014 XZ39   L5    4.800   5.545  13.41  20230913  344.74   80.8  248.8   26.0  0.072   5.173     9     E2023-N43
                           2014 XD40   L5    5.120   5.392  13.49  20230913  123.10  322.0  251.2   24.9  0.026   5.256    11     MPO781919
